COGnum	b14_02	b14_21
COG4934	6327.88	3745.24
KOG0027	36783.2	47113.2
KOG0030	30355.3	9139.42
KOG0034	NA	8312.25
KOG0035	63893.4	31324.26
KOG0037	NA	16352.4
KOG0045	12997.7	12296.1
KOG0052	16027.7	18346.2
KOG0078	8474.67	8364.63
KOG0085	10382.3	15166.7
KOG0087	14303.2	12287.7
KOG0092	19775.8	30574.9
KOG0101	8650.35	4119.37
KOG0161	388406.9	163308.8
KOG0382	15553.4	46692.26
KOG0395	9704.81	6191.1
KOG0407	NA	4487.97
KOG0441	NA	10156
KOG0443	4930.19	9281.94
KOG0471	23325.8	56123.4
KOG0488	43049.7	72200.1
KOG0613	5875.5	1402.41
KOG0621	5353.55	5050.59
KOG0657	404529.6	248068.7
KOG0676	14988.03	11098.31
KOG0749	8467.13	24707.8
KOG0806	28095.8	70315.8
KOG0819	476796.19	841614.45
KOG0865	NA	6658.69
KOG0888	5050.07	100204.53
KOG0918	34803.8	23935.1
KOG1003	27416.1	NA
KOG1046	95458	608343
KOG1065	275926.5	169380.71
KOG1097	34431.1	24628.1
KOG1192	NA	3807.74
KOG1205	NA	19042.2
KOG1216	1675104	1466844.27
KOG1327	NA	7744.89
KOG1353	141698	36014.7
KOG1366	7678.38	6871.37
KOG1375	NA	7011.79
KOG1376	NA	5728.6
KOG1388	10399.9	7405.64
KOG1426	8509.2	4316.76
KOG1439	3650.18	2605.16
KOG1495	NA	2664.47
KOG1516	54827.2	254855
KOG1526	4648.76	6274.678
KOG1557	10215.7	5250.53
KOG1559	4779.69	NA
KOG1643	23599.2	49803.5
KOG1693	NA	4214.68
KOG1703	10105.8	14720.1
KOG1704	193294	89422.6
KOG1735	8875.18	2297.78
KOG1744	12034.9	2980.94
KOG1745	1058250	536406
KOG1756	1058250	536406
KOG1959	18532.3	11982.1
KOG2099	63617.5	29278.2
KOG2100	125473	100881
KOG2177	6655.52	6134.79
KOG2195	24956.44	34338.15
KOG2212	1780655.75	2540440
KOG2220	15181.7	15508.2
KOG2258	10268.3	10562.9
KOG2275	16610.7	37248.9
KOG2322	8752.87	13982.6
KOG2323	19099.6	7616.78
KOG2332	262207.4	41927.7
KOG2392	957321.5	631507.11
KOG2408	397688.4	163141.7
KOG2413	412728	1870290
KOG2456	NA	3999.93
KOG2529	NA	2139.38
KOG2645	250375.9	306437.2
KOG2650	1048478.1	14822310.2
KOG2657	9619.84	5560.81
KOG2870	NA	2099.42
KOG3006	36126	22494.5
KOG3126	16033.07	11571.78
KOG3283	13078	NA
KOG3378	112626.21	104523
KOG3467	1058250	536406
KOG3528	NA	6798.03
KOG3529	68099.2	46281.4
KOG3544	24750.8	NA
KOG3545	12246.7	10104
KOG3557	15195.1	45287.6
KOG3581	117775	50507.6
KOG3587	45573.2	52078.8
KOG3594	595119.4	191171.8
KOG3624	136638	298587
KOG3627	14188621.9	14445579.09
KOG3690	80278	136906.16
KOG3714	768653.8	143176.9
KOG3770	17689.1	29041.6
KOG3774	23391.8	12024.5
KOG3776	7490.68	3486.07
KOG3927	6428.57	19354.9
KOG3977	63265.9	24864.9
KOG3998	13189.3	8359.06
KOG4087	601545.48	736151.85
KOG4126	931284	2888946.15
KOG4127	218096	403711
KOG4229	NA	7272.34
KOG4296	3452.45	22866.7
KOG4297	84199.67	159577.2
KOG4419	8622.65	6960.08
KOG4475	5875.5	1402.41
arCOG07796	6066.72	NA
