COGnum	b14_27	b14_01	b14_02	b14_10	b14_20	b14_21	b14_24
COG0008	18812.6	69525.5	120216	40700.2	62093.3	7519.66	19736.9
COG0012	NA	4818.95	4862.67	4357.23	21821.4	NA	NA
COG0013	29181.4	69118.3	37688.5	52056.4	71729.9	15160.38	26689.65
COG0015	NA	26331.93	6424.39	39251.54	29132.84	3320.84	3240.12
COG0016	NA	66033.4	36725.9	33044.01	35849.9	9696.24	10382.3
COG0017	166871.58	167403.8	187167.5	128123.9	279556.7	31257.7	133592.9
COG0018	15962.7	17901.8	NA	20205.1	NA	NA	NA
COG0028	NA	NA	7003.93	25906	17552.5	20609.13	5699.47
COG0035	41589.8	86109.5	23819.9	61275.8	NA	5230.17	19269.1
COG0036	NA	8145.95	8604.56	NA	16029.6	NA	NA
COG0039	131170	91849	135865.7	61443	64549.2	158622	240073.5
COG0044	48169.9	NA	48604.8	NA	112864	NA	44239.2
COG0046	84683.7	241567.2	152322.8	257132.1	265952.9	105043.2	171142
COG0047	84683.7	241567.2	152322.8	257132.1	265952.9	105043.2	171142
COG0048	752766	1615380	1043358	1048131	2149893	326683	615133
COG0049	191232.8	785135.95	476541.2	293051.04	515503	115517.8	162293.33
COG0050	3937647.4	5866571.16	3248144.1	5394336.4	5480726.26	3128283.79	3863314.32
COG0051	30145.6	75860.6	27451.2	9054.82	11278.2	17062.8	27181.1
COG0052	35874.6	114637.9	253404.3	89204.7	164284.3	34621	81342.5
COG0055	513252	642172.17	492752.4	283723.98	514163.07	191742.25	404340.15
COG0056	300926.5	252677.95	141343.8	221154.3	210565.8	27856.8	212498.5
COG0057	538436.41	895609.58	672738.14	180142.7	609114.78	13717.48	362275.11
COG0058	59115.86	189968.8	221423.6	126155.2	228438.2	47314.42	79136.91
COG0059	168939	191855.78	195083.4	256464.09	205027.3	7791.81	245107
COG0060	4013.05	6325.29	NA	5648.02	7465.75	2917.86	4165.5
COG0065	NA	19866.2	49137.2	NA	23549.9	NA	NA
COG0073	9724.74	14289	7899.97	NA	NA	6342.32	14953.7
COG0078	23597.3	43581.8	44563.8	59106.5	36417.1	11621	23396.1
COG0080	292568	403131.94	205957.3	784569.4	549682.87	305552.03	364412.42
COG0081	172288.2	806594.5	533417.4	133817.8	367384.2	11423.5	76538.1
COG0085	410886.8	685611	686662.2	237546.48	537990.9	110799.83	313159.68
COG0086	405506.24	634598.5	499155.9	595569.3	597962.2	158668.24	369521.4
COG0087	181325	359144.61	186194.5	224191	218157.9	281595.2	167981.8
COG0088	45090.3	42059.9	5593.36	118143.6	100534	47854.09	50375.2
COG0089	1462.28	NA	NA	NA	NA	10733.8	7993.58
COG0090	366404.6	704252.73	400563.13	545018.42	1106358.4	139638.19	235784.82
COG0091	416328	705133	673843	1548580	650327	369421	464205
COG0092	319176	344369	343408	418919	300276	172036	246310
COG0093	42872.3	49486.01	7725.42	137528	NA	32414.08	20903.46
COG0094	153744.6	300253	229506.02	521270.16	267890.3	286631.6	244025.1
COG0096	389368.9	649402.9	389116.2	1016112.3	552192.32	126872.04	385849
COG0097	NA	52484.9	18086.9	121321	51845.9	15322.2	14908.8
COG0098	114548.8	291468.8	115995	461752.7	783339	120416.9	181492.2
COG0099	25687.6	97214.8	24085.7	NA	48322.6	16745.7	18111.43
COG0100	92356.5	21466.2	11688	34995.8	42067.5	NA	23647.47
COG0102	25479.8	747745	426062.3	124852.4	407305	50184.42	62076.6
COG0103	37641.8	119769	12118.8	17338.1	77170.7	7132.5	14481.7
COG0104	15439.3	41201.76	10303.1	48915.52	45390	23152.24	34487
COG0105	NA	NA	NA	NA	9976.4	3577.18	3008.49
COG0115	117641.58	172824	134257.6	175354.8	102215.2	31128.3	59280.3
COG0124	25288.4	16998.5	20428.1	20893.1	20869.2	NA	15577.8
COG0126	119503.75	348514.66	284467.64	530756.64	334197.1	113429.88	225516.9
COG0129	NA	5818.45	NA	12162.1	NA	NA	NA
COG0136	81274.4	169509.8	131089.1	162058.6	78337	45403.1	97011.5
COG0137	21254.5	21946.76	17922.6	21940.27	22640.9	NA	15086.7
COG0138	53220.9	71763	124064.5	72796.5	68494.8	34764.42	49615.7
COG0139	NA	NA	NA	3642.42	6848.06	NA	NA
COG0140	6245.15	NA	NA	12378.36	6848.06	NA	NA
COG0141	NA	NA	4894.14	NA	NA	4776.7	4773.48
COG0143	9724.74	14289	7899.97	NA	NA	6342.32	14953.7
COG0148	107033.9	44394.3	56054.4	79033.3	19384.8	8633.03	67675.6
COG0149	179658.67	322327.88	463935.97	190423.55	282467.92	126604.37	153958.38
COG0150	29041.3	32530.4	24010.8	41724.52	66315.3	NA	25129.6
COG0151	31303.5	19675.6	23215	8771.71	20073.2	3404.79	9645.87
COG0152	56679.95	90480.7	123525.07	124120.8	114030.2	35793.3	62942.62
COG0153	28347.68	34666.5	NA	54242.9	53697.1	2231.22	19088.7
COG0156	12157.1	23691.2	40624	14502.34	11228.2	NA	NA
COG0157	7775.52	16252.5	40972.4	NA	15778.06	9644.47	7626.26
COG0162	NA	26871.7	36092	NA	27406.4	NA	13635
COG0165	NA	7458.46	5478.95	7884.33	7444.92	NA	NA
COG0166	75372.5	59420.6	239260.5	107245.6	150424	78849.59	141872.2
