KEGGnum	b14_10	b14_20
K00005	9773.54	6436.41
K00008	300345.3	183021
K00012	NA	6894.93
K00024	61443	64549.2
K00027	73746.09	31297.1
K00029	9489.65	38601.7
K00040	47739.6	59841.3
K00048	168835	322424
K00052	NA	16330.8
K00053	256464.09	205027.3
K00059	25035.3	38909
K00067	36134.9	37237.1
K00088	1287072.2	814296.1
K00128	NA	4138.11
K00133	162058.6	78337
K00134	180142.7	609114.78
K00208	24834	69968.9
K00239	376045.9	157695.9
K00240	109261.57	65433.4
K00243	12329.2	12520.2
K00248	29915.5	35973.2
K00262	2618643.13	2534823.29
K00266	208118.07	168124.45
K00290	35596.8	87202.5
K00335	68755.2	29624.4
K00336	23354.1	NA
K00346	225572.59	21939.42
K00351	111783.9	182698.7
K00528	NA	3570.74
K00602	56138.3	33311.3
K00609	111571	98137.4
K00615	25238.64	24466.19
K00616	123625.8	143536.9
K00625	542947.8	339467.8
K00626	13589.6	16071.6
K00639	7437.87	NA
K00652	7064.47	11228.2
K00656	855696.79	582877.02
K00677	NA	6814.8
K00688	126155.2	228438.2
K00705	3961.89	14153.6
K00761	61275.8	NA
K00767	NA	15778.06
K00773	7589.43	10925.5
K00789	64097.9	39844.2
K00826	175354.8	102215.2
K00831	113370.63	68284.4
K00848	81181.5	43742.5
K00849	54242.9	53697.1
K00850	407567.6	357940
K00854	25582.1	15006.9
K00864	17421.8	44098.5
K00874	14192.6	72138
K00895	39065.9	146615.3
K00925	207527.61	324179.7
K00927	530756.64	334197.1
K00939	170846.7	87656.14
K00940	NA	9976.4
K00962	195205.1	179074.82
K00973	95178.5	130330
K00975	49601.54	49106.6
K01006	3107172.98	2550748.3
K01139	8292.89	NA
K01190	29968.95	3933.15
K01193	13449	4467.93
K01222	33466.4	9678.32
K01270	NA	32337.6
K01274	NA	5453.86
K01338	NA	19213.9
K01361	9895.46	33120.6
K01428	49790.7	NA
K01462	11389.9	9986.93
K01465	NA	112864
K01478	9173.49	13358.6
K01489	NA	8149.7
K01491	36242.6	22165.8
K01523	8735.94	NA
K01537	NA	26661.2
K01571	561613	449185
K01596	10095.7	59635.1
K01604	77142.9	46412.8
K01610	1256231.4	1288702.6
K01624	732502.4	1151286.4
K01625	4830.09	NA
K01639	4201.44	NA
K01647	NA	8447.34
K01652	25906	17552.5
K01653	42783.55	21074.6
K01662	NA	6751.16
K01677	NA	10462.8
K01681	70454	84050.4
K01687	12162.1	NA
K01689	79033.3	19384.8
K01703	NA	23549.9
K01710	89850	175730.17
K01711	30585	72585.5
K01714	22480	23461.8
K01715	23346.1	21768.28
K01733	NA	7731.01
K01740	103535	90782.7
K01755	7884.33	7444.92
K01756	39251.54	29132.84
K01783	NA	16029.6
K01784	75610.99	81974.28
K01785	NA	7759.46
K01790	13609.1	24351.2
K01803	125165.15	111375.92
K01804	118497.92	97274.1
K01808	10768.9	9537.13
K01810	107245.6	150424
K01812	45093.4	116978
K01818	665202.5	469711.5
