KEGGnum	F3NL2582	F3NL0496	F3NL1002	F2NL4627	F2NL2504
K00005	NA	NA	9773.54	6436.41	12029.1
K00008	209738.4	76401.7	300345.3	183021	84340.4
K00012	6299.2	8050.77	NA	6894.93	NA
K00013	NA	4894.14	NA	NA	4776.7
K00016	NA	NA	NA	NA	2664.47
K00024	91849	135865.7	61443	64549.2	158622
K00027	40790	48511.9	73746.09	31297.1	33886.1
K00029	78621.1	124746	9489.65	38601.7	4277.57
K00031	26327.07	86712.14	4696.94	3846.94	6274.678
K00040	88672.7	57965.1	47739.6	59841.3	44077.5
K00048	272268	176466	168835	322424	5903.12
K00052	27130	35887.6	NA	16330.8	NA
K00053	191855.78	195083.4	256464.09	205027.3	7791.81
K00059	30793.4	40865.4	25035.3	38909	60359.5
K00067	30011.6	30004.1	36134.9	37237.1	NA
K00088	1588019.2	1051744.89	1287072.2	814296.1	425648.23
K00128	3377.06	8803.21	8041.47	8926.91	3999.93
K00133	169509.8	131089.1	162058.6	78337	45403.1
K00134	1626366.58	1062426.14	382606.7	859343.78	246236.48
K00175	20056.05	19501.3	NA	NA	1454.87
K00208	45261.3	82211.7	24834	69968.9	NA
K00239	812144.1	100951.3	376045.9	157695.9	299571.8
K00240	197688.74	49573.3	109261.57	65433.4	129793.8
K00243	9648.46	20583.4	12329.2	12520.2	4481.08
K00248	58203.2	45416.5	29915.5	35973.2	NA
K00262	2411089.75	1728618.01	2618643.13	2534823.29	1098394.07
K00266	169686.8	54265.13	208118.07	168124.45	60515.86
K00290	87113.9	136562	35596.8	87202.5	5267.46
K00335	42888.1	12714.2	68755.2	29624.4	7318.08
K00336	NA	NA	23354.1	NA	NA
K00346	191021.5	22724.71	225572.59	21939.42	148799.33
K00351	308427	168420.1	111783.9	182698.7	129811.7
K00522	230117	231946	55750.9	130770	30008.9
K00525	12066.4	NA	NA	NA	NA
K00528	2266.45	2038.67	NA	3570.74	NA
K00602	29482.6	17267.5	56138.3	33311.3	34764.42
K00609	64852	38907.6	111571	98137.4	22461.5
K00615	16507.8	4232.42	25238.64	24466.19	3825.31
K00616	107882.7	67194.9	123625.8	143536.9	32772.48
K00625	282413.3	59651.6	542947.8	339467.8	169370.9
K00626	16543.8	44726.6	13589.6	16071.6	3183.53
K00639	NA	NA	7437.87	NA	NA
K00645	NA	NA	NA	NA	2930.79
K00652	23691.2	40624	7064.47	11228.2	NA
K00656	602729.65	393356.91	855696.79	582877.02	691564.54
K00677	12445.5	15416.9	NA	6814.8	NA
K00688	253186.2	285041.1	177200.5	281942	76592.62
K00699	NA	NA	NA	NA	3807.74
K00705	7594.35	11595	3961.89	14153.6	NA
K00761	86109.5	23819.9	61275.8	NA	5230.17
K00767	16252.5	40972.4	NA	15778.06	9644.47
K00773	14313.3	27258.4	7589.43	10925.5	NA
K00789	70622.6	60986.6	64097.9	39844.2	17567.4
K00826	172824	134257.6	175354.8	102215.2	31128.3
K00831	78379.6	77044.2	113370.63	68284.4	64216.7
K00848	64731.2	8248.63	81181.5	43742.5	7382.93
K00849	34666.5	NA	54242.9	53697.1	2231.22
K00850	362405.8	429046.7	407567.6	357940	69254
K00854	19898.4	4370.29	25582.1	15006.9	NA
K00864	30243.1	NA	17421.8	44098.5	NA
K00873	20091.4	19099.6	8720.24	8420.31	7616.78
K00874	61433.8	67909.5	14192.6	72138	9945.22
K00878	NA	15614.4	NA	NA	NA
K00895	192343.2	131792	39065.9	146615.3	14428.6
K00925	180137.4	137864.2	207527.61	324179.7	114406.85
K00927	348514.66	284467.64	530756.64	334197.1	113429.88
K00939	104700.3	352917	170846.7	87656.14	34341.75
K00940	NA	5050.07	5699.95	18055.55	103781.71
K00948	NA	NA	NA	NA	5817.52
K00962	211262.4	157864.2	195205.1	179074.82	48732
K00973	102101	185676	95178.5	130330	84830.4
K00975	49012.3	23961.8	49601.54	49106.6	19425.1
K00979	NA	76977.1	NA	NA	NA
K01006	2538919.2	1805076.1	3107172.98	2550748.3	846514.36
K01047	606804.5	601545.48	922724.7	483262.9	736151.85
K01077	553596	931284	698835	686287	2888946.15
K01128	12776.2	17689.1	NA	8132.75	29041.6
K01139	NA	NA	8292.89	NA	NA
K01168	NA	14952.8	12936.9	NA	33302.2
K01176	292711	1780655.75	2207950	2679873.8	2540440
K01190	4689.99	NA	29968.95	3933.15	NA
K01193	NA	6858.12	13449	4467.93	NA
K01198	7697.47	NA	NA	NA	NA
K01201	NA	NA	NA	NA	8943.13
K01203	22984.1	34372.6	33824.9	21902	27557.6
K01206	2304.01	NA	NA	NA	NA
K01222	7948.9	10120.3	33466.4	9678.32	30335.9
K01270	22489.1	81545.1	NA	32337.6	11624.8
K01273	166415	218096	181447	121096	403711
K01274	NA	NA	NA	5453.86	NA
K01277	8042.95	15007.9	NA	NA	NA
K01278	100198	125473	102711	70927.4	100881
K01279	4817.75	6327.88	6504.33	5450.93	3745.24
K01283	133043	80278	50217	195683	131114
K01291	2630080	895671	4547200	12972500	10368600
K01298	15638.2	15050.8	71476.4	21292.4	294001
K01301	15922.4	16003	13615	14122.4	28616.8
K01307	3963.08	4779.69	3330.4	10013.1	NA
K01310	157415	151916	312663	112957	406969
K01311	3227210	2847440	2701150	3509530	2577320
K01312	269782	277938.2	1340877	240326.2	1451213
K01316	31371	53467.4	36846	32082.6	29764.2
K01319	NA	6261.45	NA	26759.8	NA
K01327	NA	23334.5	NA	31263.9	8375.38
K01338	22420.1	22474.5	NA	19213.9	NA
K01345	6867652	8677270	7032450	7772400	7612030
K01346	571873	1975730	551768	790689	2319510
K01352	NA	40193.6	33251.1	4501.04	6504.03
K01361	102901	68029.7	9895.46	33120.6	NA
K01389	73862	136638	137145	121027	298587
K01395	150759	729411	307668	1027930	114908
K01421	15930.8	NA	NA	NA	NA
K01428	15069.5	67520.5	49790.7	NA	94498.8
K01462	NA	13197.7	11389.9	9986.93	7204.87
K01465	NA	48604.8	NA	112864	NA
K01478	6560.76	6768.8	9173.49	13358.6	NA
K01488	36215.4	34431.1	24175	NA	24628.1
K01489	NA	NA	NA	8149.7	NA
K01491	22336.6	NA	36242.6	22165.8	15859.1
K01513	12425.1	19551.9	19805.3	16708.2	24113.2
K01523	NA	NA	8735.94	NA	NA
K01537	10859.7	7400.54	NA	26661.2	NA
K01540	8309.33	6428.57	13722.2	NA	19354.9
K01571	520533	372616	561613	449185	87827.1
K01596	18315.3	NA	10095.7	59635.1	7985.55
K01604	105154	44304.3	77142.9	46412.8	56046.6
K01610	1371899.3	2089052.1	1256231.4	1288702.6	896771.4
K01623	10554.2	10215.7	NA	8736.73	5250.53
K01624	1577419.3	3128550.1	732502.4	1151286.4	383571.43
K01625	16255.6	5985.28	4830.09	NA	10903.7
K01639	16097.2	NA	4201.44	NA	7177.79
K01647	NA	6330.89	NA	8447.34	NA
K01652	NA	7003.93	25906	17552.5	20609.13
K01653	20862.7	12221.6	42783.55	21074.6	3774.43
K01661	56299	54544.1	NA	NA	NA
K01662	9441.64	6276.95	NA	6751.16	NA
K01672	NA	NA	NA	NA	7667.76
K01677	NA	10210.5	NA	10462.8	NA
K01681	65369.2	47750.2	70454	84050.4	12361.3
K01687	5818.45	NA	12162.1	NA	NA
K01689	44394.3	56054.4	79033.3	19384.8	8633.03
K01703	19866.2	49137.2	NA	23549.9	NA
K01710	57685.6	161739.78	89850	175730.17	48871.9
K01711	75749.5	158086	30585	72585.5	60052.8
K01714	NA	NA	22480	23461.8	16244.5
K01715	31630.6	117294.7	23346.1	21768.28	13789.9
K01733	12642.3	NA	NA	7731.01	NA
K01740	52781.1	158528.3	103535	90782.7	78903.56
K01755	7458.46	5478.95	7884.33	7444.92	NA
K01756	26331.93	6424.39	39251.54	29132.84	3320.84
K01783	8145.95	8604.56	NA	16029.6	NA
K01784	109015.58	132044.22	75610.99	81974.28	18245.86
K01785	NA	15968.5	NA	7759.46	NA
K01790	15720.6	20718.4	13609.1	24351.2	NA
K01803	186191.98	272834.17	169614.45	142370.02	174982.9
K01804	163180.4	38668.72	118497.92	97274.1	52635.6
